symbol,identifier,series,isin,industry,companyName,lastPrice,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,nearWKH,nearWKL,perChange365d,perChange30d,key,index,indexSymbol,last,variation,percentChange,yearLow,declines,advances,unchanged,previousDay,oneWeekAgo,oneMonthAgo,oneYearAgo
KNRCON,KNRCONEQN,EQ,INE634I01029,Civil Construction,KNR Constructions Limited,337.4,-7.9,-2.29,566774.0,191779318.38,415.4,18.777082330284063,-42.513199577613506,20.63,-14.79,,,,,,,,,,,,,,
LXCHEM,LXCHEMEQN,EQ,INE576O01020,Specialty Chemicals,Laxmi Organic Industries Limited,302.0,-7.05,-2.28,1037371.0,314935461.89,325.5,7.2196620583717355,-37.27272727272727,-0.02,17.99,,,,,,,,,,,,,,
TRIVENI,TRIVENIEQN,EQ,INE256C01024,Sugar,Triveni Engineering & Industries Limited,496.2,-11.3,-2.23,1153947.0,572069225.25,518.0,4.20849420849421,-85.49532710280374,51.28,19.84,,,,,,,,,,,,,,
360ONE,360ONEEQN,EQ,INE466L01038,Stockbroking & Allied,360 ONE WAM LIMITED,1079.95,-24.3,-2.2,182150.0,196926007.99999997,1215.0,11.115226337448556,-121.50548661675727,124.66,1.58,,,,,,,,,,,,,,
ASAHIINDIA,ASAHIINDIAEQN,EQ,INE439A01020,Auto Components & Equipments,Asahi India Glass Limited,668.95,-14.4,-2.11,47939.0,32241853.839999996,722.0,7.347645429362875,-33.37653274847972,7.96,-1.08,,,,,,,,,,,,,,
ECLERX,ECLERXEQN,EQ,INE738I01010,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),eClerx Services Limited,2711.0,-56.55,-2.04,29074.0,79340038.60000001,2995.0,9.482470784641068,-54.55659758843819,78.72,19.01,,,,,,,,,,,,,,
VIPIND,VIPINDEQN,EQ,INE054A01027,Plastic Products - Consumer,VIP Industries Limited,495.0,-9.85,-1.95,344828.0,171551930.0,697.4,29.022082018927442,-15.519253208868145,-26.29,7.01,,,,,,,,,,,,,,
GRSE,GRSEEQN,EQ,INE382Z01011,Aerospace & Defense,Garden Reach Shipbuilders & Engineers Limited,1725.1,-26.45,-1.51,362406.0,631800500.1,2833.8,39.12414425859271,-166.0959432361561,122,-22.16,,,,,,,,,,,,,,
CELLO,CELLOEQN,EQ,INE0LMW01024,Houseware,Cello World Limited,894.0,-13.7,-1.51,45367.0,40734575.63,1025.0,12.78048780487805,-25.703037120359948,-,-5.05,,,,,,,,,,,,,,
DEEPAKFERT,DEEPAKFERTEQN,EQ,INE501A01019,Commodity Chemicals,Deepak Fertilizers And Petrochemicals Corporation Limited,959.0,-14.45,-1.48,347599.0,337091082.23,1124.0,14.679715302491104,-113.11111111111111,73.27,8.78,,,,,,,,,,,,,,
GAEL,GAELEQN,EQ,INE036B01030,Other Agricultural Products,Gujarat Ambuja Exports Limited,136.14,-2.04,-1.48,883302.0,120632554.14,210.6,35.35612535612536,-8.911999999999988,-45.12,3.96,,,,,,,,,,,,,,
HBLPOWER,HBLPOWEREQN,EQ,INE292B01021,Auto Components & Equipments,HBL Power Systems Limited,633.6,-9.3,-1.45,820733.0,521083381.7,724.0,12.486187845303865,-159.88515176374077,127.78,3.5,,,,,,,,,,,,,,
LEMONTREE,LEMONTREEEQN,EQ,INE970X01018,Hotels & Resorts,Lemon Tree Hotels Limited,130.65,-1.91,-1.44,851298.0,111783940.38,158.0,17.31012658227848,-29.677419354838715,24.45,-8.36,,,,,,,,,,,,,,
HEG,HEGEQN,EQ,INE545A01016,Electrodes & Refractories,HEG Limited,2109.8,-29.5,-1.38,93526.0,197012519.0,2743.0,23.084214363835212,-44.31903686982694,14.51,-7.11,,,,,,,,,,,,,,
VAIBHAVGBL,VAIBHAVGBLEQN,EQ,INE884A01027,Gems Jewellery And Watches,Vaibhav Global Limited,310.55,-4.25,-1.35,314941.0,98261592.0,542.4,42.74520648967551,-18.23719779173807,-29.38,-2.71,,,,,,,,,,,,,,
AEGISLOG,AEGISLOGEQN,EQ,INE208C01025,Trading - Gas,Aegis Logistics Limited,791.85,-10.55,-1.31,67560.0,53906124.0,970.0,18.365979381443296,-182.80357142857142,-,2.35,,,,,,,,,,,,,,
EIDPARRY,EIDPARRYEQN,EQ,INE126A01031,Fertilizers,EID Parry India Limited,825.45,-10.8,-1.29,158537.0,131086318.45,875.0,5.6628571428571375,-82.33929754804508,73.84,8.09,,,,,,,,,,,,,,
JMFINANCIL,JMFINANCILEQN,EQ,INE780C01023,Holding Company,JM Financial Limited,132.1,-1.73,-1.29,10912100.0,1449563364.0,136.5,3.2234432234432275,-91.44927536231883,23.8,3.17,,,,,,,,,,,,,,
RBA,RBAEQN,EQ,INE07T201019,Restaurants,Restaurant Brands Asia Limited,104.39,-1.35,-1.28,1386865.0,144982867.1,133.7,21.9222139117427,-14.087431693989071,-11.16,-1.49,,,,,,,,,,,,,,
AETHER,AETHEREQN,EQ,INE0BWX01014,Specialty Chemicals,Aether Industries Limited,981.7,-12.2,-1.23,44458.0,43843145.86,1071.0,8.33800186741363,-28.90814785634562,-10.14,-1.71,,,,,,,,,,,,,,
PRSMJOHNSN,PRSMJOHNSNEQN,EQ,INE010A01011,Cement & Cement Products,Prism Johnson Limited,209.66,-2.49,-1.17,1822905.0,384432435.45,246.0,14.772357723577237,-74.71666666666667,26.05,0.51,,,,,,,,,,,,,,
VTL,VTLEQN,EQ,INE825A01020,Other Textile Products,Vardhman Textiles Limited,493.05,-5.75,-1.15,70306.0,34878103.54,592.0,16.714527027027025,-45.65731166912851,26.44,-5.93,,,,,,,,,,,,,,
RCF,RCFEQN,EQ,INE027A01015,Fertilizers,Rashtriya Chemicals and Fertilizers Limited,186.25,-2.12,-1.13,1022130.0,191496055.5,245.0,23.979591836734695,-58.37585034013607,65.22,-5,,,,,,,,,,,,,,
POWERINDIA,POWERINDIAEQN,EQ,INE07Y701011,Heavy Electrical Equipment,Hitachi Energy India Limited,13039.0,-149.35,-1.13,34056.0,448017918.48,14382.0,9.33806146572104,-234.68518185785055,176.09,0.46,,,,,,,,,,,,,,
JINDALSAW,JINDALSAWEQN,EQ,INE324A01024,Iron & Steel Products,Jindal Saw Limited,713.15,-8.15,-1.13,257962.0,183637988.56,732.1,2.5884442016118077,-117.05980824836402,88.7,4.65,,,,,,,,,,,,,,
KPIL,KPILEQN,EQ,INE220B01022,Civil Construction,Kalpataru Projects International Limited,1378.85,-15.5,-1.11,56814.0,78669209.52000001,1449.0,4.841269841269847,-129.3305613305613,105.39,-0.25,,,,,,,,,,,,,,
CRAFTSMAN,CRAFTSMANEQN,EQ,INE00LO01017,Auto Components & Equipments,Craftsman Automation Limited,6340.3,-69.6,-1.09,46182.0,298886209.44,6679.65,5.080356006676988,-67.641887336233,23.36,12.91,,,,,,,,,,,,,,
MINDACORP,MINDACORPEQN,EQ,INE842C01021,Auto Components & Equipments,Minda Corporation Limited,549.9,-6.0,-1.08,352098.0,194879201.04,652.0,15.659509202453991,-75.68690095846644,64.5,8.61,,,,,,,,,,,,,,
MMTC,MMTCEQN,EQ,INE123F01029,Trading & Distributors,MMTC Limited,94.23,-1.02,-1.07,1312323.0,124460713.32000001,131.8,28.50531107738999,-89.59758551307847,130.72,-5.87,,,,,,,,,,,,,,
CAPLIPOINT,CAPLIPOINTEQN,EQ,INE475E01026,Pharmaceuticals,Caplin Point Laboratories Limited,1938.1,-20.7,-1.06,43745.0,84997847.35,2158.8,10.223272188252746,-103.1551362683438,73.77,16.2,,,,,,,,,,,,,,
CERA,CERAEQN,EQ,INE739E01017,Sanitary Ware,Cera Sanitaryware Limited,8272.9,-87.3,-1.04,13472.0,111780417.28,10789.95,23.327726263791778,-25.514322126471654,-3.45,3.11,,,,,,,,,,,,,,
ASTRAZEN,ASTRAZENEQN,EQ,INE203A01020,Pharmaceuticals,AstraZeneca Pharma India Limited,6678.0,-69.35,-1.03,4875.0,32524781.25,7572.2,11.808985499590607,-54.906054279749476,52.33,-6.44,,,,,,,,,,,,,,
CONCORDBIO,CONCORDBIOEQN,EQ,INE338H01029,Pharmaceuticals,Concord Biotech Limited,2065.15,-20.8,-1.0,125139.0,257621156.51999998,2138.75,3.4412624196376345,-115.4114947324502,71.56,5.48,,,,,,,,,,,,,,
GSFC,GSFCEQN,EQ,INE026A01025,Fertilizers,Gujarat State Fertilizers & Chemicals Limited,221.3,-2.08,-0.93,748302.0,166489711.98000002,322.25,31.32660977501939,-33.3132530120482,29.55,-2.88,,,,,,,,,,,,,,
PRINCEPIPE,PRINCEPIPEEQN,EQ,INE689W01016,Plastic Products - Industrial,Prince Pipes And Fittings Limited,575.35,-5.25,-0.9,35478.0,20515508.28,776.0,25.856958762886592,-10.357725136664428,-19.29,-7.49,,,,,,,,,,,,,,
WHIRLPOOL,WHIRLPOOLEQN,EQ,INE716A01013,Household Appliances,Whirlpool of India Limited,2029.25,-17.95,-0.88,120216.0,241507933.20000002,2280.0,10.99780701754386,-71.08591181182027,33.83,2.46,,,,,,,,,,,,,,
CGCL,CGCLEQN,EQ,INE180C01042,Non Banking Financial Company (NBFC),Capri Global Capital Limited,210.8,-1.82,-0.86,58879.0,12422880.21,289.25,27.121866897147793,-15.172376113205491,-74.51,-3.98,,,,,,,,,,,,,,
JUBLINGREA,JUBLINGREAEQN,EQ,INE0BY001018,Specialty Chemicals,Jubilant Ingrevia Limited,766.95,-6.6,-0.85,654847.0,502870108.23999995,786.0,2.423664122137399,-88.83417456604705,26.86,2.66,,,,,,,,,,,,,,
MAHSEAMLES,MAHSEAMLESEQN,EQ,INE271B01025,Iron & Steel Products,Maharashtra Seamless Limited,669.65,-5.7,-0.84,77264.0,51943814.559999995,1097.0,38.956244302643576,-20.26760057471265,20.18,5.12,,,,,,,,,,,,,,
AVANTIFEED,AVANTIFEEDEQN,EQ,INE871C01038,Animal Feed,Avanti Feeds Limited,681.85,-5.75,-0.84,421924.0,290507331.71999997,793.0,14.016393442622949,-76.69085255247475,54.81,-3.13,,,,,,,,,,,,,,
VGUARD,VGUARDEQN,EQ,INE951I01027,Household Appliances,V-Guard Industries Limited,459.5,-3.6,-0.78,96728.0,44521963.839999996,577.45,20.426010910035505,-63.52313167259786,46.06,-0.36,,,,,,,,,,,,,,
JKPAPER,JKPAPEREQN,EQ,INE789E01012,Paper & Paper Products,JK Paper Limited,461.55,-3.65,-0.78,543028.0,252757812.88,638.75,27.741682974559687,-44.64117831400814,24.82,-7.74,,,,,,,,,,,,,,
VIJAYA,VIJAYAEQN,EQ,INE043W01024,Healthcare Service Provider,Vijaya Diagnostic Centre Limited,911.35,-7.05,-0.77,71356.0,65138038.160000004,973.0,6.336073997944499,-101.18101545253863,80.64,16.07,,,,,,,,,,,,,,
BEML,BEMLEQN,EQ,INE258A01016,Construction Vehicles,BEML Limited,3897.9,-29.2,-0.74,53543.0,209303870.44,5488.0,28.974125364431487,-104.60880291855857,52.22,-14.44,,,,,,,,,,,,,,
MHRIL,MHRILEQN,EQ,INE998I01010,Hotels & Resorts,Mahindra Holidays & Resorts India Limited,415.45,-2.9,-0.69,113237.0,47129239.4,505.0,17.732673267326735,-19.46800862688713,2.54,-8.79,,,,,,,,,,,,,,
EASEMYTRIP,EASEMYTRIPEQN,EQ,INE07O001026,Tour Travel Related Services,Easy Trip Planners Limited,41.92,-0.28,-0.66,14981952.0,631938735.36,54.0,22.370370370370367,-13.297297297297302,-2.65,-2.86,,,,,,,,,,,,,,
RATNAMANI,RATNAMANIEQN,EQ,INE703B01027,Iron & Steel Products,Ratnamani Metals & Tubes Limited,3789.25,-24.9,-0.65,19049.0,72286764.22,3978.5,4.756817896192032,-50.95711411668625,42.2,2.36,,,,,,,,,,,,,,
ALKYLAMINE,ALKYLAMINEEQN,EQ,INE150B01039,Specialty Chemicals,Alkyl Amines Chemicals Limited,2209.95,-14.5,-0.65,38105.0,84434202.14999999,2735.0,19.197440585009147,-22.23174778761061,-15.46,-1.51,,,,,,,,,,,,,,
JKLAKSHMI,JKLAKSHMIEQN,EQ,INE786A01032,Cement & Cement Products,JK Lakshmi Cement Limited,782.2,-5.0,-0.64,77491.0,60629733.309999995,999.9,21.772177217721765,-24.5640576479019,18.06,-7.12,,,,,,,,,,,,,,
ALLCARGO,ALLCARGOEQN,EQ,INE418H01029,Logistics Solution Provider,Allcargo Logistics Limited,66.99,-0.42,-0.62,2149479.0,145476738.72000003,98.0,31.642857142857146,-14.258911819887416,-74.39,9.29,,,,,,,,,,,,,,
SIGNATURE,SIGNATUREEQN,EQ,INE903U01023,Residential Commercial Projects,Signatureglobal (India) Limited,1476.0,-9.05,-0.61,448215.0,667584867.45,1575.0,6.285714285714286,-232.43243243243242,-,5.03,,,,,,,,,,,,,,
ENGINERSIN,ENGINERSINEQN,EQ,INE510A01028,Civil Construction,Engineers India Limited,214.33,-1.26,-0.58,2205341.0,474324742.28000003,303.9,29.47351102336294,-84.05324173465007,37.88,-14.24,,,,,,,,,,,,,,
RAJESHEXPO,RAJESHEXPOEQN,EQ,INE343B01030,Gems Jewellery And Watches,Rajesh Exports Limited,294.6,-1.55,-0.52,140078.0,41337017.800000004,530.0,44.415094339622634,-12.873563218390814,-41.42,-3.86,,,,,,,,,,,,,,
MEDPLUS,MEDPLUSEQN,EQ,INE804L01022,Pharmacy Retail,Medplus Health Services Limited,685.85,-3.5,-0.51,101330.0,69460701.7,849.0,19.21672555948174,-14.575676578683595,-18.45,0.89,,,,,,,,,,,,,,
BORORENEW,BORORENEWEQN,EQ,INE666D01022,Glass - Industrial,BOROSIL RENEWABLES LIMITED,503.2,-2.5,-0.49,149818.0,75578686.46000001,669.35,24.8225890789572,-28.679197033627407,15.59,-6.89,,,,,,,,,,,,,,
ROUTE,ROUTEEQN,EQ,INE450U01017,Other Telecom Services,ROUTE MOBILE LIMITED,1672.7,-8.3,-0.49,178827.0,297541303.95,1942.45,13.88710134108986,-20.6810721113957,1.76,-1.54,,,,,,,,,,,,,,
CLEAN,CLEANEQN,EQ,INE227W01023,Specialty Chemicals,Clean Science and Technology Limited,1582.55,-7.85,-0.49,62570.0,98645984.89999999,1690.0,6.357988165680475,-27.316975060337885,5.76,-9.47,,,,,,,,,,,,,,
GLS,GLSEQN,EQ,INE03Q201024,Pharmaceuticals,Glenmark Life Sciences Limited,1305.25,-5.65,-0.43,158197.0,205257443.56,1335.1,2.235787581454566,-113.55530104712041,66.61,19.08,,,,,,,,,,,,,,
FINEORG,FINEORGEQN,EQ,INE686Y01026,Specialty Chemicals,Fine Organic Industries Limited,5198.2,-20.9,-0.4,19204.0,100090479.84,5958.85,12.765046946978034,-29.276299428002982,10.94,-2.13,,,,,,,,,,,,,,
INDIACEM,INDIACEMEQN,EQ,INE383A01012,Cement & Cement Products,The India Cements Limited,370.65,-1.4,-0.38,881213.0,327220823.28999996,385.0,3.7272727272727333,-114.80730223123729,38.99,-2.51,,,,,,,,,,,,,,
JUBLPHARMA,JUBLPHARMAEQN,EQ,INE700A01033,Pharmaceuticals,Jubilant Pharmova Limited,1219.8,-4.4,-0.36,470258.0,570606354.62,1247.15,2.193000040091419,-282.6823529411765,95.7,8,,,,,,,,,,,,,,
CHALET,CHALETEQN,EQ,INE427F01016,Hotels & Resorts,Chalet Hotels Limited,879.15,-2.5,-0.28,48675.0,42970776.75,958.0,8.230688935281838,-64.29639319753315,54.44,1.51,,,,,,,,,,,,,,
APTUS,APTUSEQN,EQ,INE852O01025,Housing Finance Company,Aptus Value Housing Finance India Limited,331.45,-0.75,-0.23,269548.0,88667814.6,392.0,15.446428571428573,-21.722365038560405,22.19,3.58,,,,,,,,,,,,,,
SAMMAANCAP,SAMMAANCAPEQN,EQ,INE148I07KS0,Housing Finance Company,Sammaan Capital Limited,163.26,-0.33,-0.2,3075587.0,502335624.71000004,234.8,30.468483816013634,-24.01063425750094,-,-,,,,,,,,,,,,,,
MAPMYINDIA,MAPMYINDIAEQN,EQ,INE0BV301023,Software Products,C.E. Info Systems Limited,2090.0,-3.9,-0.19,120127.0,250706250.27000004,2747.85,23.94053532761977,-30.625,20.9,-8.08,,,,,,,,,,,,,,
TVSSCS,TVSSCSEQN,EQ,INE395N01027,Logistics Solution Provider,TVS Supply Chain Solutions Limited,204.67,-0.36,-0.18,969527.0,198500957.98000002,231.15,11.455764654985947,-41.151724137931026,-3.88,1.97,,,,,,,,,,,,,,
EPL,EPLEQN,EQ,INE255A01020,Packaging,EPL Limited,250.0,-0.4,-0.16,428303.0,107272769.38000001,269.0,7.063197026022305,-47.4056603773585,27.15,12.86,,,,,,,,,,,,,,
CHENNPETRO,CHENNPETROEQN,EQ,INE178A01016,Refineries & Marketing,Chennai Petroleum Corporation Limited,874.7,-1.4,-0.16,456128.0,400968440.96000004,1275.0,31.396078431372544,-84.06986531986534,136.43,-2.72,,,,,,,,,,,,,,
CHEMPLASTS,CHEMPLASTSEQN,EQ,INE488A01050,Commodity Chemicals,Chemplast Sanmar Limited,514.95,-0.8,-0.16,82302.0,42186359.160000004,633.9,18.764789398958815,-27.842601787487595,-4.97,-8.68,,,,,,,,,,,,,,
GPIL,GPILEQN,EQ,INE177H01021,Iron & Steel Products,Godawari Power And Ispat limited,942.45,-1.45,-0.15,150221.0,141339934.48,1223.95,22.999305527186568,-64.51950772453522,52.79,-15.01,,,,,,,,,,,,,,
WELCORP,WELCORPEQN,EQ,INE191B01025,Iron & Steel Products,Welspun Corp Limited,679.35,-0.55,-0.08,198586.0,135256924.6,750.0,9.419999999999998,-80.60614116708761,109.21,8.57,,,,,,,,,,,,,,
NUVAMA,NUVAMAEQN,EQ,INE531F01015,Stockbroking & Allied,Nuvama Wealth Management Limited,6652.75,-4.65,-0.07,29899.0,198964689.44,7052.0,5.661514463981849,-216.79761904761904,-,0.5,,,,,,,,,,,,,,
ANURAS,ANURASEQN,EQ,INE930P01018,Specialty Chemicals,Anupam Rasayan India Limited,763.85,-0.05,-0.01,19950.0,15185940.0,1106.3,30.954533128446165,-6.03137146029984,-22.52,-1.31,,,,,,,,,,,,,,
RAILTEL,RAILTELEQN,EQ,INE0DD101019,Other Telecom Services,Railtel Corporation Of India Limited,469.8,0.1,0.02,701007.0,327664691.94,617.8,23.955972806733563,-132.0,102.98,-2.15,,,,,,,,,,,,,,
MTARTECH,MTARTECHEQN,EQ,INE864I01014,Aerospace & Defense,Mtar Technologies Limited,1760.0,1.95,0.11,52927.0,93119234.53,2783.85,36.77820284857302,-10.0,-32.95,-2.03,,,,,,,,,,,,,,
INDIGOPNTS,INDIGOPNTSEQN,EQ,INE09VQ01012,Paints,Indigo Paints Limited,1507.6,2.5,0.17,137088.0,206565569.28,1588.0,5.062972292191441,-20.607999999999993,-8.38,-2.06,,,,,,,,,,,,,,
STLTECH,STLTECHEQN,EQ,INE089C01029,Telecom - Equipment & Accessories,Sterlite Technologies Limited,130.5,0.36,0.28,1614770.0,212003153.29999998,171.5,23.9067055393586,-19.17808219178082,-21.81,-4.54,,,,,,,,,,,,,,
CAMPUS,CAMPUSEQN,EQ,INE278Y01022,Footwear,Campus Activewear Limited,330.8,1.0,0.3,1293845.0,428676725.4,345.15,4.1576126321888935,-55.30516431924883,-8.35,-10.29,,,,,,,,,,,,,,
HAPPYFORGE,HAPPYFORGEEQN,EQ,INE330T01021,Castings & Forgings,Happy Forgings Limited,1217.95,3.9,0.32,6655.0,8048290.799999999,1299.95,6.307934920573868,-49.772503689129366,-,-6.25,,,,,,,,,,,,,,
FINPIPE,FINPIPEEQN,EQ,INE183A01024,Plastic Products - Industrial,Finolex Industries Limited,306.35,1.05,0.34,113458.0,34706802.199999996,355.9,13.92245012644,-64.8815931108719,25.72,0.45,,,,,,,,,,,,,,
ACI,ACIEQN,EQ,INE128X01021,Specialty Chemicals,Archean Chemical Industries Limited,702.0,2.4,0.34,109404.0,76944927.24,837.7,16.19911662886475,-37.63356533673169,11.82,-3.71,,,,,,,,,,,,,,
PNCINFRA,PNCINFRAEQN,EQ,INE195J01029,Civil Construction,PNC Infratech Limited,456.75,1.65,0.36,450916.0,204485896.84,574.8,20.537578288100203,-47.291196388261845,35.83,-7.24,,,,,,,,,,,,,,
WESTLIFE,WESTLIFEEQN,EQ,INE274F01020,Restaurants,WESTLIFE FOODWORLD LIMITED,848.9,3.25,0.38,49300.0,41633850.0,1000.0,15.110000000000001,-19.7404612455039,-14.81,1.52,,,,,,,,,,,,,,
ERIS,ERISEQN,EQ,INE406M01024,Pharmaceuticals,Eris Lifesciences Limited,1395.15,5.7,0.41,109787.0,152861929.45,1522.05,8.337439637331222,-73.52611940298509,70.89,23.84,,,,,,,,,,,,,,
SBFC,SBFCEQN,EQ,INE423Y01016,Non Banking Financial Company (NBFC),SBFC Finance Limited,86.71,0.35,0.41,3150522.0,274158424.44,98.0,11.520408163265314,-19.76519337016573,-2.84,2.15,,,,,,,,,,,,,,
BALAMINES,BALAMINESEQN,EQ,INE050E01027,Specialty Chemicals,Balaji Amines Limited,2300.1,10.1,0.44,22958.0,52551091.580000006,2735.0,15.901279707495432,-17.352040816326525,-0.11,-8.83,,,,,,,,,,,,,,
GILLETTE,GILLETTEEQN,EQ,INE322A01010,Personal Care,Gillette India Limited,8923.75,39.7,0.45,16830.0,150142449.60000002,9495.0,6.016324381253291,-49.953789279112755,60.47,11.32,,,,,,,,,,,,,,
RHIM,RHIMEQN,EQ,INE743M01012,Electrodes & Refractories,RHI MAGNESITA INDIA LIMITED,586.1,2.7,0.46,89178.0,52247606.64,824.0,28.871359223300967,-16.232027764005952,-13.82,2.39,,,,,,,,,,,,,,
GPPL,GPPLEQN,EQ,INE517F01014,Port & Port services,Gujarat Pipavav Port Limited,227.12,1.07,0.47,675798.0,153581853.48,250.69,9.402050341058674,-95.37204301075269,73.54,-0.76,,,,,,,,,,,,,,
INOXWIND,INOXWINDEQN,EQ,INE066P01011,Heavy Electrical Equipment,Inox Wind Limited,241.69,1.33,0.55,5719294.0,1381895816.28,254.25,4.9400196656833835,-413.6875664187035,7.31,23.26,,,,,,,,,,,,,,
ELECON,ELECONEQN,EQ,INE205B01031,Industrial Products,Elecon Engineering Company Limited,626.5,3.9,0.63,151572.0,94685512.68,716.75,12.591559121032438,-81.02750809061489,-30.98,2.14,,,,,,,,,,,,,,
ANANDRATHI,ANANDRATHIEQN,EQ,INE463V01026,Financial Products Distributor,Anand Rathi Wealth Limited,3982.95,27.7,0.7,26036.0,103376979.44,4299.95,7.372178746264492,-182.12856383920663,172.65,2.74,,,,,,,,,,,,,,
MOTILALOFS,MOTILALOFSEQN,EQ,INE338I01027,Stockbroking & Allied,Motilal Oswal Financial Services Limited,768.85,5.35,0.7,536623.0,410232184.81,806.45,4.662409324818652,-265.5446203584843,-20.75,9.55,,,,,,,,,,,,,,
LATENTVIEW,LATENTVIEWEQN,EQ,INE0I7C01011,Computers - Software & Consulting,Latent View Analytics Limited,485.0,3.5,0.73,112599.0,54479900.16,575.0,15.652173913043478,-23.456790123456784,6.22,-5.08,,,,,,,,,,,,,,
DCMSHRIRAM,DCMSHRIRAMEQN,EQ,INE499A01024,Diversified,DCM Shriram Limited,1090.8,8.5,0.79,20873.0,22636142.310000002,1210.0,9.85123966942149,-31.04276790004805,11.42,8.86,,,,,,,,,,,,,,
SPARC,SPARCEQN,EQ,IN9232I01012,Pharmaceuticals,Sun Pharma Advanced Research Company Limited,226.48,1.91,0.85,243485.0,54932650.85,472.8,52.098138747884946,-15.492095869454358,-11.58,-2.16,,,,,,,,,,,,,,
BIRLACORPN,BIRLACORPNEQN,EQ,INE340A01012,Cement & Cement Products,Birla Corporation Limited,1323.75,12.25,0.93,65774.0,86438217.58,1802.0,26.539955604883463,-16.337830118205396,13.64,-11.84,,,,,,,,,,,,,,
USHAMART,USHAMARTEQN,EQ,INE228A01035,Iron & Steel Products,Usha Martin Limited,358.5,3.3,0.93,344644.0,122999997.16,427.8,16.199158485273493,-41.81170886075949,-7.48,-10.43,,,,,,,,,,,,,,
RTNINDIA,RTNINDIAEQN,EQ,INE834M01019,E-Retail/ E-Commerce,RattanIndia Enterprises Limited,82.47,0.81,0.99,7259027.0,597563102.64,94.85,13.052187664733786,-70.74534161490683,30.55,3.78,,,,,,,,,,,,,,
GMMPFAUDLR,GMMPFAUDLREQN,EQ,INE541A01023,Industrial Products,GMM Pfaudler Limited,1435.45,15.8,1.11,78515.0,112460175.1,1897.95,24.36839748149319,-25.5751902720672,-17.93,-5.53,,,,,,,,,,,,,,
KFINTECH,KFINTECHEQN,EQ,INE138Y01010,Depositories Clearing Houses and Other Intermediaries,Kfin Technologies Limited,1033.25,11.9,1.17,320221.0,328383433.29,1189.0,13.09924306139613,-142.80343085418872,134.1,21.04,,,,,,,,,,,,,,
SAFARI,SAFARIEQN,EQ,INE429E01023,Plastic Products - Consumer,Safari Industries (India) Limited,2564.45,29.55,1.17,18829.0,47954262.07,2613.75,1.8861788617886248,-55.55319665170447,-32.56,15.31,,,,,,,,,,,,,,
JUSTDIAL,JUSTDIALEQN,EQ,INE599M01018,Internet & Catalogue Retail,Just Dial Limited,1165.5,15.5,1.35,322127.0,375229635.95,1383.95,15.784529787925866,-68.16968472693169,63.53,2.77,,,,,,,,,,,,,,
CCL,CCLEQN,EQ,INE421D01022,Tea & Coffee,CCL Products (India) Limited,724.0,9.75,1.37,130478.0,93688423.11999999,855.0,15.321637426900585,-31.254532269760688,19.21,10.87,,,,,,,,,,,,,,
UTIAMC,UTIAMCEQN,EQ,INE094J01016,Asset Management Company,UTI Asset Management Company Limited,1286.5,19.0,1.5,110373.0,141200178.9,1319.0,2.4639878695981805,-73.61673414304994,53.55,10.75,,,,,,,,,,,,,,
SAPPHIRE,SAPPHIREEQN,EQ,INE806T01020,Restaurants,Sapphire Foods India Limited,333.35,5.1,1.55,196547.0,65226087.42,364.4,8.520856201975839,-37.40725474031329,18.41,-0.63,,,,,,,,,,,,,,
CSBBANK,CSBBANKEQN,EQ,INE679A01013,Private Sector Bank,CSB Bank Limited,323.35,4.95,1.55,109067.0,35155566.11,422.25,23.42214328004736,-5.103201690232422,-1.1,-4.33,,,,,,,,,,,,,,
BIKAJI,BIKAJIEQN,EQ,INE00E101023,Packaged Foods,Bikaji Foods International Limited,861.55,13.65,1.61,232067.0,198663276.01999998,901.75,4.4579983365677895,-91.37050199911151,69.41,11.61,,,,,,,,,,,,,,
PCBL,PCBLEQN,EQ,INE602A01031,Carbon Black,PCBL LIMITED,513.95,8.8,1.74,5572356.0,2819612136.0,519.5,1.0683349374398372,-220.11834319526625,185.16,29.72,,,,,,,,,,,,,,
SWSOLAR,SWSOLAREQN,EQ,INE00M201021,Civil Construction,Sterling and Wilson Renewable Energy Limited,733.9,13.35,1.85,490869.0,357406627.59000003,828.0,11.364734299516911,-190.07905138339922,-,2.22,,,,,,,,,,,,,,
DOMS,DOMSEQN,EQ,INE321T01012,Stationary,DOMS Industries Limited,2853.95,56.75,2.03,320765.0,929362057.4499999,2975.0,4.068907563025216,-132.86145561357702,-,12.94,,,,,,,,,,,,,,
CHOLAHLDNG,CHOLAHLDNGEQN,EQ,INE149A01033,Investment Company,Cholamandalam Financial Holdings Limited,1965.0,42.25,2.2,239756.0,470127950.15999997,1979.0,0.7074279939363315,-104.45323067318697,66.21,4.15,,,,,,,,,,,,,,
TMB,TMBEQN,EQ,INE668A01016,Private Sector Bank,Tamilnad Mercantile Bank Limited,490.05,11.0,2.3,276091.0,134815235.3,600.0,18.324999999999996,-11.870791005592968,-13.91,4.41,,,,,,,,,,,,,,
ELGIEQUIP,ELGIEQUIPEQN,EQ,IN9285A01033,Compressors Pumps & Diesel Engines,Elgi Equipments Limited,741.0,17.55,2.43,622093.0,460230622.33,798.95,7.253269916765761,-58.74035989717223,40.74,0.88,,,,,,,,,,,,,,
